Test,n_sources,max_out_degree,n_nodes,max_instances,n_compute,n_instances,g_diam,n_sinks,median_out_degree,config,n_math,n_edges,n_cycles
convert-float8-char8_rte,1,8,18,1,8,10,3,1,1,0,0,24,127
convert-float2-uchar2_sat,7,4,32,1,22,24,6,1,2,15,0,56,33554431
convert-uint-float_rte,1,1,4,1,1,3,3,1,1,0,0,3,0
convert-float-short_rtp,1,1,4,1,1,3,3,1,1,0,0,3,0
accumulate-short8_pma,1,4,10,2,4,10,3,1,1,6,0,12,7
convert-uint-float_rtn,7,2,18,1,9,11,6,1,1,4,0,21,15
convert-float8-char8_rtn,1,8,18,1,8,10,3,1,1,4,0,24,127
clamp-uchar16,3,8,60,1,32,36,4,1,1,0,0,104,2147483647
convert-float-short_rtz,1,1,4,1,1,3,3,1,1,8,0,3,0
convert-float-short_rte,1,1,4,1,1,3,3,1,1,4,0,3,0
min-uint16,4,8,54,1,16,22,3,2,1,4,0,80,134217727
convert-float8-char8_rtp,1,8,18,1,8,10,3,1,1,15,0,24,127
convert-uint-float_rtp,7,2,18,1,9,11,6,1,1,15,0,21,15
convert-float-short_rtn,1,1,4,1,1,3,3,1,1,15,0,3,0
convert-uint-float_rtz,7,2,18,1,9,11,6,1,1,7,0,21,15
abs_diff-int,2,1,6,1,1,4,3,1,1,7,0,5,0
scalar-livein-int_pma,3,2,10,1,2,6,3,2,1,10,0,10,1
convert-uint-uchar,1,1,3,1,0,2,2,1,1,4,0,2,0
convert-ushort-uint,3,1,5,1,0,3,2,2,1,7,0,3,-0.5
shift-dl-test-2_pma,5,16,47,1,33,35,4,1,2,12,0,106,2147483647
convert-float-uint_sat,3,4,14,1,9,11,4,1,2,7,0,23,1023
iv_cmp_pred_and_actual_use_long_chain,5,2,18,2,11,15,6,1,1,1,0,19,3
add-transformations-abs-pos-sat-char-wide-1_pma,3,16,100,1,80,83,8,1,1,15,0,168,2147483647
shl-complicated-char-3_pma,3,8,52,1,32,35,5,1,1,8,0,88,2147483647
cmp-basic-ushort8-1_pma,10,7,23,1,7,10,3,1,1,12,0,34,4095
convert-uchar-int,2,1,5,1,1,3,3,1,1,15,0,4,0
isequal-float16,4,8,70,1,32,38,4,2,1,15,0,96,134217727
convert-float8-short8_rtn,1,8,18,1,8,10,3,1,1,0,0,24,127
convert-float8-short8_rte,1,8,18,1,8,10,3,1,1,0,0,24,127
