Test,n_sources,max_out_degree,n_nodes,max_instances,n_compute,n_instances,g_diam,n_sinks,median_out_degree,config,n_math,n_edges,n_cycles
all-int3,2,3,9,1,3,5,4,1,1,15,0,10,1
cmp-basic-uchar16-1_pma,10,8,35,1,16,18,4,1,1,9,0,48,4096
convert-ushort4-char4,1,2,4,1,0,2,2,1,1,0,0,4,0.5
mad_sat-short16,5,16,94,1,64,68,6,1,1,12,0,168,9.44473E+21
rhadd-short16,3,16,68,1,48,51,4,1,1,0,0,112,8.79609E+12
iv-select-acc-eq-idx-innerLoop-ver2-nonNeutral-i16,3,2,8,3,3,8,4,1,1,15,0,8,0.5
smoothstep-float,5,2,18,1,9,13,8,1,1,15,1,19,1
rotate-char4,3,4,26,1,18,21,6,1,1,0,0,34,128
rotate-char2,3,2,15,1,9,12,6,1,1,0,0,17,2
rotate-char3,3,4,26,1,18,21,6,1,1,0,0,34,128
store-23-bytes,13,7,68,1,47,49,5,1,1,100,3,110,2.19902E+12
rotate-char8,3,8,48,1,36,39,6,1,1,1,0,68,524288
max-uchar8,2,4,19,1,8,11,3,1,2,15,0,32,4096
max-uchar2,2,2,7,1,2,5,3,1,1,0,0,8,1
max-uchar3,4,2,12,1,3,7,3,2,1,1,0,14,2
max-uchar4,2,2,11,1,4,7,3,1,2,1,0,16,16
vecmem-copy-row-to-col_pma,3,1,5,1,0,4,1,3,0,12,0,2,0.0625
convert-float-char_rte,1,1,4,1,1,3,3,1,1,1,0,3,0.25
convert-uchar16-char16,1,7,9,1,0,2,2,1,1,1,0,14,16
convert-float8-int8_rtz,1,8,18,1,8,10,3,1,1,1,0,24,32
racc-char2_pma,1,1,4,2,1,4,3,1,1,15,0,3,0.25
convert-short4-ushort4,1,2,4,1,0,2,2,1,1,1,0,4,0.5
convert-float8-int8_rtp,1,8,18,1,8,10,3,1,1,1,0,24,32
clamp-short8_scalar,3,8,26,1,16,20,4,1,1,1,0,46,524288
convert-float8-int8_rtn,1,8,18,1,8,10,3,1,1,1,0,24,32
convert-float8-int8_rte,1,8,18,1,8,10,3,1,1,12,0,24,32
convert-short2-float2,1,2,5,1,2,4,3,1,1,1,0,5,0.5
add_low_rshift_sat_pos_b_ui,3,2,10,1,2,6,3,1,1,0,0,12,2
convert-uint4-short4,1,4,6,1,0,2,2,1,1,1,0,8,2
masked_store_splat_combined_with_bounds,2,4,27,2,16,23,4,1,1,3,0,48,1048576
convert-float16-char16,2,8,35,1,16,19,3,1,1,0,0,48,4096
add_sat-uint2,3,2,14,1,6,9,4,1,1,1,0,18,8
add_sat-uint3,3,3,19,1,9,12,4,1,1,0,0,27,128
masked_store_splat_scalar,5,3,15,2,7,11,6,1,1,1,0,19,8
add_sat-uint4,3,4,24,1,12,15,4,1,1,0,0,36,2048
add_sat-uint8,3,8,44,1,24,27,4,1,1,1,0,72,134217728
log2-float8,1,8,18,1,8,10,3,1,1,0,8,24,32
convert-float4-uchar4_rtz,1,4,10,1,4,6,3,1,1,14,0,12,2
convert-float3-uchar3_rtp,1,3,8,1,3,5,3,1,1,12,0,9,1
mul24-uint,2,3,8,1,3,6,3,1,1,12,0,11,4
